title,author,genre,length_category
Vineland,Thomas Pynchon,Fiction,average
Pan,Knut Hamsun,Fiction,short
Forty Stories,Donald Barthelme,"Experimental fiction, American",average
One Flew Over the Cuckoo's Nest,,Fiction,average
The Wife,Sigrid Undset,Fiction,long
Mrs Dalloway,Virginia Woolf,Fiction,average
The Collected Dorothy Parker,Dorothy Parker,Classical fiction,long
Ulysses,James Joyce,Fiction,long
A Confederacy of Dunces,John Kennedy Toole,Classical fiction,average
Sammlung,Jorge Luis Borges;Eliot Weinberger,Argentine literature,long
"Speak, Memory",Vladimir Nabokov;Vladimir Vladimirovich Nabokov,"Novelists, American",average
Howards End,Edward Morgan Forster,Brothers,average
A Room of One's Own,Virginia Woolf,Fiction,short
Tender is the Night,F. Scott Fitzgerald,Fiction,average
A Spy In The House Of Love,Anais Nin,Fiction,short
Keep the Aspidistra Flying,George Orwell,Fiction,average
The Flame Trees of Thika,Elspeth Huxley,Biography & Autobiography,average
Orlando,Virginia Woolf,Men,average
The Good Soldier Svejk,Jaroslav Hašek,Czechoslovakia,long
Rhinoceros,Eugène Ionesco,French drama,average
Labyrinths,Jorge Luis Borges,Classical fiction,average
The Dharma Bums,Jack Kerouac,Fiction,average
The Subterraneans,Jack Kerouac,Fiction,short
One Hundred Years of Solitude,Gabriel García Márquez,Latin America,long
Tortilla Flat,John Steinbeck,Fiction,short
The Plague,Albert Camus,Epidemics,average
Orwell in Spain,George Orwell,Fiction,long
The Years,Virginia Woolf,Fiction,long
The Autobiography of Alice B. Toklas,Gertrude Stein,Biography & Autobiography,average
Nausea,Jean-Paul Sartre;Robert Baldick,Fiction,average
The House of Bernarda Alba and Other Plays,Federico García Lorca;Michael Dewell;Carmen Zapata,Repression (Psychology),short
Go Tell it on the Mountain,James Baldwin,Fiction,average
Answered Prayers,Truman Capote,Authors,short
The Log from the Sea of Cortez,John Steinbeck,Biography & Autobiography,average
"The Sea, the Sea",Iris Murdoch,Fiction,long
A Fairly Honourable Defeat,Iris Murdoch,Fiction,long
Mysteries,Knut Hamsun,Fiction,average
Giovanni's Room,James Baldwin,Fiction,short
The Bell,Iris Murdoch,Fiction,average
The Call of Cthulhu and Other Weird Stories,H. P. Lovecraft,"Horror tales, American",long
Seven Gothic Tales,Isak Dinesen,Fiction,average
Orientalism,Edward W. Said,History,average
One Flew Over the Cuckoo's Nest,Ken Kesey,Mentally ill,average
Mr Majeika and the School Trip,Humphrey Carpenter,Juvenile Fiction,short
The Duplicate,William Sleator,Juvenile Fiction,short
The Beasties,William Sleator,Juvenile Fiction,average
Crazy,Benjamin Lebert,Handicapped youth,short
Serena and the Sea Serpent,Garth Nix,Sea monsters,short
Skin and Other Stories,Roald Dahl,Juvenile Fiction,average
Westmark,Lloyd Alexander,Juvenile Fiction,short
The Kestrel,Lloyd Alexander,Juvenile Fiction,average
James and the Giant Peach,Roald Dahl;Quentin Blake,Adventure stories,short
Boy,Roald Dahl,"Authors, English",short
The Blue Sword,Robin McKinley,,average
The Outsiders,S. E. Hinton,Alienation (Social psychology),average
The Twits,Roald Dahl;Simon Callow,,short
"Raffles, the Amateur Cracksman",Ernest William Hornung,Fiction,average
"Frankenstein, Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Fiction,average
Pygmalion,George Bernard Shaw,Literary Criticism,short
Pride and Prejudice,Jane Austen,Fiction,long
Emma,Jane Austen,Fiction,long
A Tale of Two Cities,Charles Dickens,Fiction,long
The Woman in White,Wilkie Collins,Fiction,long
The Mill on the Floss,George Eliot,Fiction,long
The Portrait of a Lady,Henry James,Fiction,long
Mansfield Park,Jane Austen,Fiction,long
Robinson Crusoe,Daniel Defoe,Fiction,average
Vanity Fair,William Makepeace Thackeray,Fiction,long
The Turn of the Screw and The Aspern Papers,Henry James,Fiction,average
Little Dorrit,Charles Dickens,Fiction,long
Tono-Bungay,H.G. Wells,Fiction,long
A Passage to India,Edward Morgan Forster;Pankaj Mishra,Fiction,average
"Moby-Dick, Or, The Whale",Herman Melville,Fiction,long
Icy Sparks,Gwyn Hyman Rubio,Fiction,average
Bridget Jones's Guide to Life,Helen Fielding,Fiction,short
Getting Things Done,David Allen,Business & Economics,average
East of Eden,John Steinbeck,Fiction,long
Cannery Row,John Steinbeck,Fiction,short
Travels with Charley,John Steinbeck,Biography & Autobiography,average
Salt,Mark Kurlansky,History,long
The Eyre Affair,Jasper Fforde,Fiction,average
Youth,J. M. Coetzee,Fiction,short
Word Freak,Stefan Fatsis,Biography & Autobiography,average
"The Fall of Berlin, 1945",Antony Beevor,History,long
The Last American Man,Elizabeth Gilbert,Biography & Autobiography,average
When the Elephants Dance,Tess Uriza Holthe,Fiction,average
The Spy who Loved Me,Ian Fleming,Adirondack Mountains (N.Y.),short
Octopussy,Ian Fleming,Fiction,short
The Blank Slate,Steven Pinker,Psychology,long
Good Poems,Garrison Keillor,Poetry,long
The Classic Ten,Nancy MacDonell Smith;Nancy MacDonell,Design,average
I Should be Extremely Happy in Your Company,Brian Hall,Fiction,long
Drop City,T. Coraghessan Boyle,Fiction,long
River of Shadows,Rebecca Solnit,Biography & Autobiography,average
The Life of Graham Greene: 1904-1939,Norman Sherry,Biography & Autobiography,long
Voice of the Violin,Andrea Camilleri,Fiction,average
Zazie in the Metro,Raymond Queneau,Fiction,short
Nuns and Soldiers,Iris Murdoch,Fiction,long
A Year Down Yonder,,Juvenile Fiction,short
"Oliver and Albert, Friends Forever",Jean Van Leeuwen,Juvenile Fiction,short
The Philadelphia Adventure,Lloyd Alexander,Juvenile Fiction,short
Dirty Beasts,Roald Dahl,Juvenile Nonfiction,short
A Robin McKinley Collection,Robin McKinley,Juvenile Fiction,long
The Enormous Crocodile,Roald Dahl;Quentin Blake,Juvenile Fiction,short
Triss,Brian Jacques;David Elliot,Juvenile Fiction,average
Pippi Longstocking,Astrid Lindgren,Juvenile Fiction,short
The Far Side of Evil,Sylvia Engdahl,Juvenile Fiction,average
Moon-Flash,Patricia A. McKillip,Juvenile Fiction,average
Firebirds,Sharyn November,Juvenile Fiction,long
Charlie and the Chocolate Factory,Roald Dahl,Juvenile Fiction,short
Rock Star Superstar,Blake Nelson,Juvenile Fiction,average
Amber Brown Is Not a Crayon,Paula Danziger,Juvenile Fiction,short
The Tough Guide to Fantasyland,Diana Wynne Jones,Juvenile Nonfiction,average
Heat,Mike Lupica,Juvenile Fiction,average
The BFG,Roald Dahl;David Wood;Jane Walmsley,Juvenile Nonfiction,short
I'm Afraid You've Got Dragons,Peter S. Beagle,Juvenile Fiction,average
A Little Princess,Frances Hodgson Burnett,Fiction,average
The Letters of John and Abigail Adams,Abigail Adams,Literary Collections,long
Jane Eyre,Charlotte Brontë,Fiction,long
On the Road,Jack Kerouac,Fiction,average
The Portable Faulkner,William Faulkner,Literary Collections,long
The Power and the Glory,Graham Greene,Fiction,average
The Portable Dante,Dante Alighieri,Fiction,long
The Portable Arthur Miller,Arthur Miller,Drama,long
Agapē Agape,William Gaddis,Fiction,short
"In the Land of Time, and Other Fantasy Tales",Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,long
The Portable John Adams,John Adams,Biography & Autobiography,long
Aleph and other stories,Jorge Luis Borges;Andrew Hurley,Fiction,average
A Universal History of Iniquity,Jorge Luis Borges;Andrew Hurley,Fiction,short
Stamboul Train,Graham Greene,Fiction,short
Enchantress from the Stars,Sylvia Louise Engdahl,Juvenile Fiction,average
Castaways of the Flying Dutchman,Brian Jacques,Juvenile Fiction,average
Salamandastron,Brian Jacques;Gary Chalk,Juvenile Fiction,average
Riot,Shashi Tharoor,Adult children,average
Buddha,Karen Armstrong,Biography & Autobiography,average
Excursion to Tindari,Andrea Camilleri,Fiction,average
Alexander Hamilton,Ron Chernow,Biography & Autobiography,long
The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,long
Jane Austen,Carol Shields,Biography & Autobiography,short
The Liars' Club,Mary Karr,Biography & Autobiography,average
Democracy Matters,Cornel West,History,average
Windblown World,Jack Kerouac;Douglas Brinkley,Biography & Autobiography,long
The United States of Europe,T. R. Reid,History,average
The Christians and the Fall of Rome,Edward Gibbon,History,short
Why I Write,George Orwell,Language Arts & Disciplines,short
On the Road,Jack Kerouac,Fiction,average
The Stone Diaries,Carol Shields,Fiction,average
Collapse,Jared M. Diamond,History,long
March,Geraldine Brooks,Fiction,average
The Mermaid Chair,Sue Monk Kidd,Fiction,average
Grammar Snobs are Great Big Meanies,June Casagrande,Humor,short
The City of Falling Angels,John Berendt,History,long
Bargaining for Advantage,G. Richard Shell,Business & Economics,average
The Memory Keeper's Daughter,Kim Edwards,Fiction,long
The Big Over Easy,Jasper Fforde,Fiction,average
The Read-aloud Handbook,Jim Trelease,Language Arts & Disciplines,long
Tooth and Claw,T. Coraghessan Boyle,Fiction,average
Rounding the Mark,Andrea Camilleri,Fiction,average
The Social Contract,Jean-Jacques Rousseau;Maurice Cranston,Philosophy,short
Fear and Trembling,Søren Kierkegaard,Philosophy,short
Bleak House,Charles Dickens;Nicola Bradbury,Fiction,long
Good Poems for Hard Times,Garrison Keillor,Poetry,average
Homegrown Democrat,Garrison Keillor,Political Science,average
Let My People Go Surfing,Yvon Chouinard,Business & Economics,average
The Joy Luck Club,Amy Tan,Fiction,average
The Kitchen God's Wife,Amy Tan,Fiction,long
The Bar on the Seine,Georges Simenon;David Watson,Fiction,short
"Eat, Pray, Love",Elizabeth Gilbert,Biography & Autobiography,average
The White Man's Burden,William Easterly,Business & Economics,long
The quiet American,Graham Greene;Robert Stone,Fiction,short
Complete Short Stories,Graham Greene,Fiction,long
World of Wonders,Robertson Davies;Wayne Johnston,Fiction,average
Sodom and Gomorrah,Marcel Proust,Fiction,long
The Grapes of Wrath,John Steinbeck,Fiction,long
The Tale of Genji,Murasaki Shikibu,Fiction,average
The Complete Novels,Jane Austen,Fiction,long
The Adventures of Augie March,Saul Bellow;Christopher Hitchens,Fiction,long
The Dharma Bums,Jack Kerouac,Fiction,short
Malgudi Days,R. K. Narayan,Fiction,average
The Outsiders,S. E. Hinton;Jodi Picoult,Fiction,short
Sometimes a Great Notion,Ken Kesey,Fiction,long
The Book of Imaginary Beings,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,Fiction,average
Gravity's Rainbow,Thomas Pynchon,Fiction,long
Life is a Dream,Pedro Calderón de la Barca,Drama,short
Black Lamb and Grey Falcon,Rebecca West,History,long
Mrs. Dalloway,Virginia Woolf,Fiction,short
Animal Farm and 1984,George Orwell,Fiction,average
Janet Flanner's world,Janet Flanner;Irving Drutman,Fiction,average
The Stone Fey,Robin McKinley,Juvenile Fiction,short
How I Became a Pirate,Melinda Long;David Shannon,Juvenile Fiction,short
The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift;Lynd Ward,Juvenile Fiction,short
The Secret School,Avi,Juvenile Fiction,short
Winter is the Warmest Season,Lauren Stringer,Juvenile Fiction,short
Doomed Queen Anne,Carolyn Meyer,Juvenile Fiction,average
Gifts,Ursula K. Le Guin,Juvenile Fiction,average
The Hundred Dresses,Eleanor Estes,Juvenile Fiction,short
"Patience, Princess Catherine",Carolyn Meyer,Juvenile Fiction,average
Voices,Ursula K. Le Guin,Juvenile Fiction,average
Apple Pie Fourth of July,Janet S. Wong;Margaret Chodos-Irvine,Juvenile Fiction,short
Beauty Shop for Rent,Laura Bowers,Juvenile Fiction,average
Frankenstein Makes a Sandwich,Adam Rex,Juvenile Nonfiction,short
The Sleeping Giant and Other Stories,Eleanor Estes,Folklore,short
The Metamorphoses of Ovid,Allen Mandelbaum,Literary Criticism,long
Winterdance,Gary Paulsen,Pets,average
This Is the Way the World Ends,James Morrow,Fiction,average
The Double Flame,Octavio Paz,Literary Collections,average
All the King's Men,Robert Penn Warren,Fiction,long
Baltasar and Blimunda,José Saramago;Giovanni Pontiero,Fiction,average
The History of the Siege of Lisbon,José Saramago,Fiction,average
Slammerkin,Emma Donoghue,Fiction,long
Blindness,José Saramago;Giovanni Pontiero,Fiction,average
All the Names,José Saramago;Margaret Jull Costa,Fiction,average
"Poems, New and Collected, 1957-1997",Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,Poetry,average
The Last Life,Claire Messud,Fiction,average
The Tale of the Unknown Island,José Saramago,Fiction,short
Tales from Margaritaville,Jimmy Buffett,Fiction,average
The Cyberiad,Stanislaw Lem,Fiction,average
Four Comedies,Aristophanes;Dudley Fitts,Drama,average
The Common Reader,Virginia Woolf,Literary Collections,average
A Writer's Diary,Virginia Woolf;Leonard Woolf,Biography & Autobiography,average
Women and Writing,Virginia Woolf,Literary Criticism,average
The Cave,José Saramago,Fiction,average
"Gun, with Occasional Music",Jonathan Lethem,Fiction,average
A Drink Before the War,Dennis Lehane,Fiction,average
Baudolino,Umberto Eco,Fiction,long
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol,Fiction,short
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,Fiction,long
Book Club,Yann Martel,,long
The Female of the Species,Joyce Carol Oates,Fiction,average
Flowers for Algernon,Daniel Keyes,Fiction,average
A Room of One's Own,Virginia Woolf;Susan Gubar,Fiction,short
To the Lighthouse,Virginia Woolf,Fiction,average
Kiffe Kiffe Tomorrow,Faïza Guène;Sarah Adams,Fiction,short
Rose of No Man's Land,Michelle Tea,Fiction,average
Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,Fiction,average
The People of Paper,Salvador Plascencia,Fiction,average
Virginia Woolf,Julia Briggs,Biography & Autobiography,long
On Literature,Umberto Eco,Literary Collections,average
The Pirates Laffite,William C. Davis,Biography & Autobiography,long
Foucault's Pendulum,Umberto Eco,Fiction,long
Between the Acts,Virginia Woolf,Fiction,average
Big Anthony and the Magic Ring,Tomie DePaola,Juvenile Fiction,short
The Collected Stories of Eudora Welty,Eudora Welty,Literary Collections,long
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,Fiction,average
The Diary of Anaïs Nin: 1939-1944,Anaïs Nin,"Authors, American",average
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,long
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,average
The Diary of Virginia Woolf: 1915-1919,Virginia Woolf,Biography & Autobiography,average
The Diary of Virginia Woolf,Virginia Woolf,Biography & Autobiography,average
The Diary of Virginia Woolf: 1925-1930,Virginia Woolf,Biography & Autobiography,long
The Diary of Virginia Woolf: 1931-1935,Virginia Woolf,Biography & Autobiography,long
Diary Of Virginia Woolf Volume 5,Virginia Woolf,Biography & Autobiography,long
Difficult Loves,Italo Calvino,Fiction,average
The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,Biography & Autobiography,average
E. M. Forster,Philip Nicholas Furbank,Biography & Autobiography,long
Fiasco,Stanislaw Lem,Fiction,average
Henry and June,Anaïs Nin,"Authors, American",average
Homage to Catalonia,George Orwell,History,average
Incest,Anaïs Nin,Biography & Autobiography,long
The Inheritors,William Golding,Fiction,average
Invisible Cities,Italo Calvino,Fiction,short
The Letters of Virginia Woolf: 1936-1941,Virginia Woolf,Biography & Autobiography,long
"Marcovaldo, Or, The Seasons in the City",Italo Calvino,Fiction,short
Moments of Being,Virginia Woolf,Biography & Autobiography,average
Mrs. Dalloway,Virginia Woolf,Fiction,short
Mrs. Miniver,Jan Struther,Fiction,short
Murder in the Cathedral,Thomas Stearns Eliot,Drama,short
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,Fiction,average
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf,Fiction,average
The Orwell Reader,George Orwell,Literary Collections,long
The Philosophy of Andy Warhol,Andy Warhol,Art,average
To the Lighthouse,Virginia Woolf,Fiction,average
Travels in Hyper Reality,Umberto Eco,Literary Collections,average
The Uses of Literature,Italo Calvino,Literary Criticism,average
The Virginia Woolf Reader,Virginia Woolf,Literary Criticism,average
The Waste Land,Thomas Stearns Eliot;Ezra Pound,Poetry,short
The Watcher & Other Stories,Italo Calvino,Fiction,short
The Waves,Virginia Woolf,Experimental fiction,average
More Readings from One Man's Wilderness,Richard Proenneke,Frontier and pioneer life,long
Tales of the Norse Gods,,Juvenile Fiction,short
Party Shoes,Noel Streatfeild,Children's stories,average
Cart And Cwidder,Diana Wynne Jones,Juvenile Fiction,short
"Moby Dick, Or, The White Whale",Herman Melville;Geraldine McCaughrean;Victor G. Ambrus,Juvenile Fiction,short
Typhoon and Other Tales,Joseph Conrad,Fiction,average
Hegel: A Very Short Introduction,Peter Singer,Philosophy,short
Emma,Jane Austen,Literary Criticism,long
Pride and Prejudice,Jane Austen,Fiction,average
Persuasion,Jane Austen,Fiction,average
Mansfield Park,Jane Austen,Literary Criticism,long
Phaedrus,Plato;Robin Waterfield,Philosophy,short
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,History,short
The Major Works,John Milton,Literary Criticism,long
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,Fiction,long
A Christmas Carol and Other Christmas Books,Charles Dickens,Fiction,long
Candide and Other Stories,Voltaire,Fiction,average
The Picture of Dorian Gray,Oscar Wilde,Fiction,average
Confessions,Jean-Jacques Rousseau,Literary Criticism,long
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,Fiction,long
Four Gothic Novels,Horace Walpole;William Beckford;Matthew Lewis;Mary W. Shelley,,long
The Histories,Herodotus,History,long
The First Philosophers,Robin Waterfield,Philosophy,average
The Antiquary,Sir Walter Scott,Fiction,long
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,Fiction,average
Orestes and Other Plays,Euripides;James Morwood,Literary Criticism,average
Jane Austen's Letters,Jane Austen,Fiction,long
Agricola and Germany,Tacitus,Literary Collections,average
Miss Or Mrs?,Wilkie Collins,Fiction,average
Great Expectations,Charles Dickens,Fiction,long
The Canterbury Tales,Geoffrey Chaucer;David Wright,Poetry,long
Complete Shorter Fiction,Oscar Wilde,Fiction,average
War and Peace,Leo Tolstoy;graf Leo Tolstoy,Fiction,long
The Castle of Otranto,Horace Walpole,Fiction,short
The Bostonians,Henry James,Fiction,long
The Divine Comedy,Dante Alighieri;Charles Hubert Sisson;David H. Higgins,Poetry,long
Hans Andersen's Fairy Tales,Hans Christian Andersen,Juvenile Fiction,average
The Karamazov Brothers,Fyodor Dostoevsky;Ignat Avsey,Fiction,long
Daisy Miller and Other Stories,Henry James,Fiction,average
Selected Philosophical Writings,Saint Thomas (Aquinas),Religion,long
The Ladies' Paradise,Émile Zola,Fiction,long
A Sentimental Education,Gustave Flaubert,Fiction,long
Faust,Johann Wolfgang von Goethe,Fiction,average
La Dame Aux Camélias,Alexandre Dumas;David Coward,Fiction,average
First Love and Other Stories,Ivan Sergeevich Turgenev,Fiction,average
The Confidence-man,Herman Melville,Literary Criticism,average
The Eclogues ; The Georgics,Virgil,Agriculture,short
Scenes of Clerical Life,George Eliot,Fiction,average
Jacques the Fatalist and His Master,Denis Diderot,Fiction,average
The Notebooks of Leonardo Da Vinci,Leonardo Da Vinci;Leonardo (da Vinci),Art,long
Eugene Onegin,Alexander Pushkin;James E. Falen,Fiction,average
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,James Matthew Barrie,Drama,average
La chartreuse de Parme,Jm Stendhal,Fiction,long
Mrs Dalloway,Virginia Woolf,First loves,short
Dubliners,James Joyce,Fiction,average
"Evelina, Or, The History of a Young Lady's Entrance Into the World",Fanny Burney,Fiction,long
Aesop's Fables,Laura Gibbs,Fiction,average
A Memoir of Jane Austen,James Edward Austen-Leigh,Biography & Autobiography,average
Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,Philosophy,short
Augustine: A Very Short Introduction,Henry Chadwick,Biography & Autobiography,short
The Origins of Life,John Maynard Smith;Eörs Szathmáry,Science,short
Augustine,Henry Chadwick,History,short
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Fiction,short
Growing Old in America,David Hackett Fischer,Religion,average
Alcestis,Euripides,Medical,short
Albion's Seed,David Hackett Fischer,Fiction,long
Inferno,Dante Alighieri,Literary Criticism,long
Paul Revere's Ride,David Hackett Fischer,Art,long
Justice Oliver Wendell Holmes,G. Edward White,Literary Criticism,long
Notebooks of the Mind,Vera John-Steiner,Psychology,average
Masters of Small Worlds,Stephanie McCurry,History,average
Ride of the Second Horseman,Robert L. O'Connell,History,average
The Great Wave,David Hackett Fischer,Business & Economics,long
Bakkhai,Euripides;Reginald Gibbons;Charles Segal,Drama,short
Manic-Depressive Illness,Frederick K. Goodwin;Kay Redfield Jamison,Medical,long
The Oresteia,Aeschylus,Drama,average
El Libertador,Simón Bolívar,Literary Collections,average
Medea,Eurípides;Michael Collier;Georgia Machemer,Drama,short
Philosophy of Mind,David John Chalmers,Philosophy,long
Norse Mythology,John Lindow,Fiction,average
Battle Cry of Freedom,James M. McPherson,History,long
Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer,Philosophy,long
Strategies of Containment,John Lewis Gaddis,History,long
The Faiths of the Founding Fathers,David L. Holmes,Biography & Autobiography,average
Acts of God,Ted Steinberg,History,average
The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,Mathematics,long
Aristophanes' Peace,Aristophanes;S. Douglas Olson,Drama,long
Lysistrata,Aristophanes;Jeffrey Henderson,Literary Criticism,average
A Midsummer Night's Dream,William Shakespeare,Juvenile Nonfiction,short
Julius Caesar,William Shakespeare,Juvenile Nonfiction,short
King Lear,William Shakespeare,Juvenile Nonfiction,short
Macbeth,William Shakespeare,Juvenile Nonfiction,short
Much Ado about Nothing,William Shakespeare,Juvenile Nonfiction,short
The Oxford Dictionary of Quotations,Oxford University Press;TME.,Reference,long
The Canterbury Tales,Helen Cooper,Literary Criticism,long
"Medieval Philosophy : A New History of Western Philosophy, Volume 2",Anthony Kenny,Philosophy,average
Contemporary Political Philosophy,Will Kymlicka,Philosophy,long
Clouds,Aristophanes,Drama,average
The Major Works,Alexander Pope,Poetry,long
"Power, Sex, Suicide",Nick Lane,Science,average
The Oxford Companion to Philosophy,Ted Honderich,Philosophy,long
The Church in Ancient Society,Henry Chadwick,Religion,long
William Shakespeare: The Complete Works,William Shakespeare,Drama,long
East and West: The Making of a Rift in the Church,Henry Chadwick,Religion,average
An Introduction to Political Philosophy,Jonathan Wolff,Philosophy,average
"Thermodynamics, Kinetic Theory, and Statistical Thermodynamics",Francis Weston Sears;Gerhard Ludwig Salinger,Kinetic theory of gases,long
Six Easy Pieces,Richard P. Feynman,Science,short
Robin Williams Web Design Workshop,John Tollett;Robin Williams;David Rohr,Computers,average
The Actor in You,Robert L. Benedetti,Performing Arts,short
It's Not about the Bike,Lance Armstrong;Sally Jenkins,Cancer,average
Non-Fiction,Chuck Palahniuk,Curiosities and wonders,average
Every Second Counts,Lance Armstrong;Sally Jenkins,Cancer,average
Quimby the Mouse,Chris Ware,Graphic novels,short
The Crescent Obscured,Robert Allison,History,average
The Bridge on the Drina,Ivo Andríc,Fiction,average
Love and Saint Augustine,Hannah Arendt;Joanna Vecchiarelli Scott;Judith Chelius Stark,Family & Relationships,average
Plato's Symposium,Plato;Seth Benardete,Philosophy,short
Philosophy in a Time of Terror,Jürgen Habermas;Giovanna Borradori;Jacques Derrida,History,average
"A Preface to Democratic Theory, Expanded Edition",Robert A. Dahl,Political Science,average
Lost Prophet,John D'Emilio,Biography & Autobiography,long
The Work of Mourning,Jacques Derrida,Literary Criticism,average
"History of Religious Ideas, Volume 3",Mircea Eliade,Religion,average
Bengal Nights,Mircea Eliade,Fiction,short
The Complete Tales of Nikolai Gogol,Nikolai Gogol;Николай Васильевич Гоголь,Fiction,average
"Love, Sex & Tragedy",Simon Goldhill,History,average
Complete Greek Tragedies,David Grene;Richmond Lattimore,,average
Greek tragedies,Sophocles;Aeschylus;Euripides,Drama,long
The Complete Greek Tragedies: Euripides,Aeschylus;Sophocles;Euripides,Drama,long
Greek Tragedies,David Grene;Richmond Lattimore,Literary Criticism,average
Oresteia,Esquilo;Aeschylus,Erinyes (Greek mythology),short
Euripides I,Euripides,Greek drama (Tragedy),average
The Complete Greek Tragedies,David Grene;Richmond Lattimore,,average
Aeschylus: The suppliant maidens,Aeschylus;David Grene,Drama,short
"Billy Budd, Sailor",Herman Melville,Fiction,average
Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,Religion,average
Works of Hesiod and the Homeric Hymns,Hesiod,Poetry,average
"The Progressive Historians--Turner, Beard, Parrington",Richard Hofstadter,History,long
The Collaborator,Alice Kaplan,History,average
Heat Wave,Eric Klinenberg,History,average
Moral Politics,George Lakoff,Language Arts & Disciplines,long
A River Runs Through It,Norman Maclean,Biography & Autobiography,short
Young Men and Fire,Norman Maclean,Biography & Autobiography,average
"Antitrust Law, Second Edition",Richard A. Posner,Law,average
A Dance to the Music of Time,Anthony Powell,Fiction,long
Mystical Poems of Rumi Translated,Jalāl al-Dīn Rūmī (Maulana);A. J. Arberry,,average
The Family Idiot,Jean-Paul Sartre,Biography & Autobiography,long
History of Political Philosophy,Leo Strauss;Joseph Cropsey,Philosophy,long
From Counterculture to Cyberculture,Fred Turner,Social Science,average
Genetics and the Origin of Species,Theodosius Dobzhansky,Science,average
The Pillow Book of Sei Sh?nagon,Sei Shōnagon,Literary Collections,long
Three Plays by Kobo Abe,Kōbō Abe,Fiction,average
Discovering Plato,Alexandre Koyre,,short
"The Columbia Reader on Lesbians and Gay Men in Media, Society, and Politics",Larry P. Gross;James D. Woods,Social Science,long
Poems Between Women,Emma Donoghue,Poetry,average
Antigone's Claim,Judith Butler,Philosophy,short
The Vital Illusion,Jean Baudrillard;Julia Witwer,Literary Criticism,short
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades,Usāmah ibn Munqidh;Philip Khuri Hitti,History,average
William Faulkner,Nicolas Tredell,Literary Criticism,short
"Nathaniel Hawthorne, The Scarlet Letter",Nathaniel Hawthorne,Literary Criticism,short
The Poetry of Sylvia Plath,Claire Brennan,Literary Criticism,average
The Intellectuals and the Flag,Todd Gitlin;Professor of Culture Journalism and Sociology Todd Gitlin,Political Science,short
More Than You Know,Michael J. Mauboussin,Business & Economics,average
Nietzsche and Philosophy,Gilles Deleuze,Philosophy,average
Remembering JFK,Jacques Lowe;Hugh Sidey,Presidents,long
Oliver Twist,Pauline Francis;Charles Dickens,Juvenile Nonfiction,short
"20,000 Leagues Under the Sea",Jules Verne;Pauline Francis,Children's stories,short
Avid Editing,Sam Kauffmann,Performing Arts,long
Directing the Documentary,Michael Rabiger,Performing Arts,long
The Very Hungry Caterpillar,Eric Carle,Babytime resource,short
The Best of McSweeney's,Dave Eggers,"Short stories, American",average
Stuart Little,Elwyn Brooks White,"Little, Stuart (Fictitious character)",short
The Dark Descent,David G. Hartwell,"Horror tales, English",average
Zora Neale Hurston,Robert E. Hemenway,Biography & Autobiography,long
Chicago Stories,James Thomas Farrell;Professor James T Farrell,Fiction,average
Dante's Vita Nuova,Alighieri Dante;Dante Alighieri,Literary Criticism,average
A Theory of Semiotics,Umberto Eco,Literary Criticism,average
The Role of the Reader,Umberto Eco,Literary Criticism,average
The Basic Problems of Phenomenology,Martin Heidegger,Philosophy,long
Hegel's Phenomenology of Spirit,Martin Heidegger,Philosophy,short
Dante's Inferno,Dante (Alighieri);Dante Alighieri,Poetry,long
Introduction to Documentary,Bill Nichols,Performing Arts,average
The Treason of Isengard,John Ronald Reuel Tolkien;Christopher Tolkien,English fiction,long
The Lost Road,John Ronald Reuel Tolkien;Christopher Tolkien,,long
The Lays of Beleriand,John Ronald Reuel Tolkien;Christopher Tolkien,Poetry,average
The Lord of the Rings,J. R. R. Tolkien,Fiction,long
The Silmarillion,John Ronald Reuel Tolkien,Fantasy,average
The Monsters and the Critics,John Ronald Reuel Tolkien,Beowulf,average
