title,author,genre,length_category
The Presocratics,Philip Wheelwright,Philosophy,average
Spandau,Albert Speer,History,long
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",short
The Journey with Grandmother,Edith Unnerstad,Grandmothers,short
Tyranny of the Majority,Lani Guinier,History,average
The Origins of the Civil Rights Movement,Aldon D. Morris,History,average
Presidential Power and the Modern Presidents,Richard E. Neustadt,History,average
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,short
Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,average
Poppy's Return,Avi,Juvenile Fiction,average
Diary of a Spider,Doreen Cronin,Juvenile Fiction,short
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,short
The Paradox of Choice,Barry Schwartz,Business & Economics,average
How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,average
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,average
The Wee Free Men,Terry Pratchett,Juvenile Fiction,average
Going Postal,Terry Pratchett,Fiction,average
Modern Mind,Peter Watson,Science,long
She Went All the Way,Meg Cabot,Fiction,average
Island,Aldous Huxley,Fiction,average
A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,average
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,long
The Terminal Man,Michael Crichton,Fiction,average
The Art of the Novel,Milan Kundera,Literary Criticism,short
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,long
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,short
Identity,Milan Kundera,Fiction,short
The thief of always,Clive Barker,Fiction,average
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,short
Mars and Venus Book of Days,John Gray,Family & Relationships,average
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,average
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,short
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,short
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,short
The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,short
Laura's Album,William Anderson,Juvenile Nonfiction,short
Quivers,Robin Quivers,African Americans in radio broadcasting,average
Moonspinners,Mary Stewart,Fiction,average
Small Wonder,Barbara Kingsolver,Literary Collections,average
Worlds Enough & Time,Dan Simmons,Fiction,average
The Cheese Monkeys,Chip Kidd,Fiction,average
Travels,Michael Crichton,Biography & Autobiography,average
Caesar,Colleen McCullough,Fiction,long
The Forever War,Joe Haldeman,Fiction,average
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,short
The Secret Sister,Elizabeth Lowell,Fiction,long
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,short
Whirlpool,Elizabeth Lowell,Fiction,long
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,short
Cryptonomicon,Neal Stephenson,Fiction,long
Falling Up,Shel Silverstein,Juvenile Nonfiction,short
Anansi Boys,Neil Gaiman,Fiction,average
Fragile Things,Neil Gaiman,Fiction,average
What Went Wrong?,Bernard Lewis,History,short
Letters from the Earth,Mark Twain,Literary Criticism,average
Savannah Blues,Mary Kay Andrews,Fiction,long
The Whipping Boy,Sid Fleischman,Juvenile Fiction,short
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,average
A Nose for Murder,Lee Charles Kelley,Fiction,average
Happiness,Will Ferguson,Fiction,average
Size 12 Is Not Fat,Meg Cabot,Fiction,average
Warrior of the Light,Paulo Coelho,Fiction,short
The Devil and Miss Prym,Paulo Coelho,Fiction,average
The Big Bing,Stanley Bing,Business & Economics,average
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,long
Walt Whitman,Justin Kaplan,Biography & Autobiography,long
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,long
The Outsider,Richard Wright,Fiction,long
1421,Gavin Menzies,History,long
The Andromeda Strain,Michael Crichton,Fiction,average
Congo,Michael Crichton,Fiction,long
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,average
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,short
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,short
The Bradbury Chronicles,Sam Weller,Biography & Autobiography,average
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,average
The Wicked Day,Mary Stewart,Fiction,long
The Game,Neil Strauss,Biography & Autobiography,long
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,short
Gold,Isaac Asimov,Fiction,long
The Kindness of Strangers,Katrina Kittle,Fiction,average
Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,average
Fluke,Christopher Moore,Fiction,average
Lord of Light,Roger Zelazny,Fiction,average
The Perennial Philosophy,Aldous Huxley,Philosophy,average
A Crack in the Edge of the World,Simon Winchester,History,long
Dead Witch Walking,Kim Harrison,Fiction,long
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,long
"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,average
Sabriel (adult),Garth Nix,Fiction,average
